TargetName,L*,a*,b*
1H2-6,81.08,19.23,56.99
1H3-6,82.04,17.32,59.8
1I1-5,87.5,10.49,51.65
1I1-6,84.42,14.44,64.21
1I2-6,85.92,11.04,60.04
1I2-7,82.85,15.97,69.94
1I3-6,87.43,7.1,60.26
1I3-7,84.93,11.16,70.45
1J1-6,87.99,4.34,59.28
1J1-7,86.19,8.83,68.29
1J1-8,80.71,17.94,85.42
1J2-6,89.51,0.99,60.77
1J2-7,86.84,4.39,70.6
1J2-8,82.08,11.61,89.37
1J3-6,90.08,-2.82,61.67
1J3-7,88.9,-0.41,72.33
1J3-8,85.06,4.94,86.85
1K1-6,88.24,-8.59,60.29
1K1-7,87.3,-6.89,70.83
1K1-8,83.08,-1.37,84.8
1K2-6,87.42,-11.55,56.03
1K2-7,86.73,-10.28,65.72
1K2-8,82.75,-3.73,83.71
1K3-6,86.91,-12.95,56.81
1K3-7,84.14,-14.92,63.24
1K3-8,79.73,-9.49,80.58
1L1-6,85.22,-17.22,53.14
2H3-6,79.31,18.3,50.34
2I1-6,80.32,15.86,53.89
2I1-7,75.18,19.11,58.13
2I2-6,82.47,12.57,54.67
2I2-7,77.92,15.48,59.86
2I2-8,66.08,19.87,62.08
2I3-6,85.52,8.11,56.7
2I3-7,81.68,10.87,62.68
2J1-6,87.94,4.98,58.02
2J1-7,84.4,8.91,67.64
2J1-8,74.44,14.16,77.21
2J2-6,87.87,1.14,58.8
2J2-7,84.37,4.01,65.67
2J2-8,73.28,8.06,70.96
2J3-6,87.09,-2.16,53.93
2J3-7,81.96,-1.14,60.32
2J3-8,74.39,1.44,67.56
2K1-6,84.99,-7.65,51.08
2K1-7,81.8,-6.62,56.74
2K1-8,69.79,-5.91,61.55
2K2-7,80.09,-10.46,55.06
2K2-8,68.2,-10.62,57.68
2K3-7,78.38,-16.28,52.57
2K3-8,65.22,-14.45,55.74
3I2-7,76.9,10.92,52.17
3I2-8,64.73,14.84,54.47
3I3-7,75.39,10.02,50.32
3I3-8,62.18,11.79,50.65
3J1-7,75.99,7.79,50.89
3J1-8,64.03,11.45,57.21
3J2-7,77.34,2.32,50.67
3J2-8,60.06,4.55,51.31
3J3-7,75.16,-0.32,50.26
